ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
23755706;57.3;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23755563;0;0;0;0;0.912;578.677;0;0;0;-0.013;0.013;1;23755564;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23755805;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23755709;0;0;0;0;0.912;578.705;0;0;0;-0.013;0.013;1;23755709;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23755950;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23755808;0;0;0;0;0.912;578.703;0;0;0;-0.013;0.013;1;23755808;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756095;57.2;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23755954;0;0;0;0;0.912;578.752;0;0;0;-0.013;0.013;1;23755954;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756194;57.2;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23756095;0;0;0;0;0.912;578.758;0;0;0;-0.013;0.013;1;23756099;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756294;57.2;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23756245;0;0;0;0;0.912;578.742;0;0;0;-0.013;0.013;1;23756246;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756485;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23756392;0;0;0;0;0.912;578.697;0;0;0;-0.013;0.013;1;23756392;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756586;57.2;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23756538;0;0;0;0;0.912;578.706;0;0;0;-0.013;0.013;1;23756539;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756683;57.3;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23756636;0;0;0;0;0.912;578.709;0;0;0;-0.013;0.013;1;23756636;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756783;57.2;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23756781;0;0;0;0;0.912;578.687;0;0;0;-0.013;0.013;1;23756781;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756877;57.3;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23756781;0;0;0;0;0.912;578.687;0;0;0;-0.013;0.013;1;23756781;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23756977;57.2;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23756884;0;0;0;0;0.912;578.705;0;0;0;-0.013;0.013;1;23756884;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23757073;57.3;19.4;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23756979;0;0;0;0;0.912;578.676;0;0;0;-0.013;0.013;1;23756980;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23757173;57.2;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23757078;0;0;0;0;0.912;578.694;0;0;0;-0.013;0.013;1;23757078;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
